
Left power from force,Vector size

-1.5898,	590
-10.3533,	433
-5.3054,	478
-8.2578,	543
-5.1546,	401
-4.7739,	460
-7.3768,	483
-2.8860,	500
-6.5689,	515
-7.2375,	518
-6.2361,	466
-5.2306,	490
-5.1135,	502
-4.2210,	439
-8.3216,	510
-5.9019,	479
-6.0631,	444
-6.3333,	540
-6.6308,	520
-4.6791,	508
-5.8422,	545
-5.1068,	468
-7.4487,	517
-6.9086,	558
-6.2867,	558
-5.9534,	451
-4.4980,	490
-7.3828,	512
-6.5377,	517
-4.7614,	549
-5.4303,	567
-6.7104,	556
-7.6867,	415
-5.3566,	429
-3.2923,	455
-7.0131,	535
-4.3459,	370
-5.2110,	436
-7.2544,	452
-7.2742,	496
-7.2939,	456
-7.0941,	425
-6.4146,	451
-7.1343,	469
-3.5355,	422
-6.2179,	468
-6.2829,	502
-4.5312,	448
-3.9723,	506
-1.5316,	427
-5.4265,	415
-5.2588,	456
-7.8449,	445
-8.1144,	533
-5.0781,	461
-7.6992,	492
-5.9008,	474
-5.0255,	392
-4.4753,	465
-3.0756,	450
-9.4286,	490
-7.9002,	441
-9.0040,	496
-5.0142,	422
-7.1207,	489
-6.2744,	441
-6.5824,	443
-6.5397,	517
-6.6250,	440
-7.9664,	506
-7.3928,	555
-1.5741,	371
19.0500,	120
