
Left power from force,Vector size

-6.7342,	523
-4.9876,	485
-5.5437,	561
-6.4911,	562
-4.3606,	563
-6.7527,	566
-5.9822,	561
-5.4054,	518
-7.6213,	507
-6.3084,	561
-6.6844,	564
-5.5516,	562
-4.8906,	530
-7.0074,	541
-4.6961,	543
-6.7741,	478
-5.2391,	548
-6.6263,	471
-6.1453,	475
-5.3365,	526
-5.5285,	456
-6.2889,	488
-6.4861,	432
-6.8566,	537
-6.6431,	552
-5.0604,	563
-3.7833,	540
-7.4193,	570
-5.0942,	584
-6.4398,	523
-6.1028,	574
-5.3346,	517
-7.8206,	524
-5.1966,	580
-4.0329,	486
-6.0440,	568
-5.6627,	590
-9.7887,	497
-4.4468,	479
-7.2549,	561
-5.8287,	508
-5.0380,	500
-4.2679,	474
-5.8082,	537
-6.8497,	572
-6.0038,	520
-6.4808,	572
-5.0552,	525
-7.6907,	514
-7.1290,	566
-5.2384,	541
-3.2656,	802
-6.3548,	544
-6.3047,	443
-7.7295,	440
-6.4651,	372
-8.6338,	497
-6.0783,	460
-6.7549,	559
-3.8958,	480
-9.9539,	477
-5.7658,	555
-5.2695,	449
-9.3266,	496
-6.5018,	556
-4.5370,	473
-7.3927,	550
-4.1100,	482
-7.6545,	495
-6.3256,	473
-7.3706,	564
-5.5841,	553
-6.4649,	527
-7.9862,	507
