
Left power from force,Vector size

-6.4021,	567
-4.7036,	550
-6.5135,	555
-7.7206,	501
-6.7197,	478
-6.5927,	550
-7.1070,	542
-4.9867,	526
-5.4929,	564
-7.4385,	545
-6.2121,	547
-5.8971,	544
-7.1463,	540
-4.2776,	508
-6.6283,	538
-4.3296,	540
-6.1537,	566
-7.0533,	563
-5.1456,	563
-5.1184,	515
-3.5736,	462
-7.3163,	528
-5.9231,	559
-6.6437,	567
-6.8845,	537
-5.6469,	422
-5.0628,	446
-7.0098,	511
-7.3562,	553
-6.8649,	570
-4.2650,	468
-6.4970,	499
-6.7726,	431
-3.1532,	470
-7.1636,	495
-6.4004,	467
-5.2530,	494
-6.3663,	505
-6.7668,	476
-7.5110,	546
-5.8627,	539
-5.9474,	551
-5.7183,	504
-7.4398,	548
-5.2583,	569
-6.1961,	515
-6.8380,	568
-4.8047,	558
-6.9136,	521
-6.7487,	577
-4.9941,	511
-5.0279,	573
-5.7568,	584
-7.8474,	485
-7.0000,	555
-5.5779,	533
-6.8481,	553
-7.6118,	559
-5.4341,	546
-4.7023,	561
-4.8610,	561
-5.5629,	469
-4.1766,	538
-5.3553,	470
-6.8056,	499
-5.8607,	560
-8.0809,	470
-5.2526,	578
-5.1707,	492
-6.9908,	545
-5.7122,	556
-4.8143,	517
-5.5697,	567
-5.9517,	559
-3.7424,	559
-6.4232,	560
-6.4426,	549
