
Left power from force,Vector size

-6.5506,	534
-5.1901,	463
-3.1381,	514
-5.6183,	558
-5.5513,	546
-5.5781,	557
-4.4291,	494
-4.7753,	543
-5.7752,	556
-4.5357,	532
-4.6068,	557
-6.4789,	570
-5.0897,	513
-6.0643,	560
-3.3707,	499
-7.8438,	493
-6.5638,	541
-2.0063,	477
-6.6534,	528
-5.6673,	559
-6.0114,	525
-6.2603,	534
-5.4618,	563
-4.4447,	506
-6.0000,	539
-5.6526,	567
-4.7969,	512
-7.2420,	533
-4.9031,	547
-4.6511,	536
-6.5525,	552
-5.2025,	563
-6.5111,	450
-7.5171,	557
-7.3532,	555
-5.0021,	469
-5.1530,	562
-6.0040,	496
-7.2586,	495
-2.9127,	504
-7.9264,	557
-6.5187,	561
-6.1701,	576
-5.6928,	573
-5.9570,	582
-5.9138,	557
-4.3004,	526
-6.9840,	564
-6.3845,	541
-6.7644,	539
-7.8038,	530
-6.8529,	510
-6.9448,	562
-5.4276,	566
-6.0471,	552
-6.5524,	534
-3.2903,	465
-8.0971,	515
-5.3142,	541
-6.4520,	542
-6.6949,	544
-3.2754,	472
-4.4080,	451
-6.9892,	463
-6.7193,	545
-4.7964,	501
-7.2592,	409
-6.8513,	491
-4.7575,	499
-6.4521,	522
-5.9515,	515
-6.1046,	545
-3.0407,	491
-6.6455,	519
-6.3371,	528
-2.8742,	469
