
Left power from force,Vector size

-0.0921,	76
-1.1757,	74
-2.1408,	71
-0.5942,	69
-0.9868,	76
-0.7632,	76
-1.3768,	69
-0.3289,	76
-0.6301,	73
-0.9306,	72
-0.3158,	76
-0.8986,	69
-0.2048,	83
-1.2237,	76
-0.7368,	76
-1.0132,	76
0.0435,	69
-0.4342,	76
-1.7101,	69
-1.1711,	76
-0.4342,	76
-0.6974,	76
-0.7632,	76
-1.8551,	69
-0.8026,	76
-0.2778,	72
-0.6849,	73
-1.9342,	76
-0.5789,	76
-1.0395,	76
-0.9130,	69
-0.7632,	76
-0.3580,	81
-0.4789,	71
-0.7368,	76
-0.9737,	76
-0.5395,	76
-0.2368,	76
-0.6087,	69
-1.2105,	76
-0.4737,	76
-1.2632,	76
-0.0658,	76
-0.9855,	69
-0.6579,	76
-1.4211,	76
-0.6184,	76
-0.5526,	76
1.0789,	76
-2.0435,	69
-0.8158,	76
-0.9211,	76
-1.4605,	76
-1.2105,	76
-0.3421,	76
-0.8947,	76
-0.7536,	69
-0.8947,	76
-0.9079,	76
-0.5263,	76
-0.1290,	62
-12.6601,	153
-0.8947,	76
0.1053,	76
-1.1053,	76
-0.4868,	76
-0.3158,	76
-0.9605,	76
-1.3623,	69
