
Left power from force,Vector size

-1.6945,	550
0.0758,	501
-1.4025,	569
-1.3884,	569
-1.0000,	525
-2.0420,	572
-2.3264,	484
-0.8594,	569
-0.9567,	577
-2.3077,	468
-1.1245,	546
-1.9276,	566
-1.5923,	542
-1.7869,	549
-0.9965,	577
-0.8537,	547
-1.0540,	556
-1.9750,	519
-2.2138,	566
-1.3555,	467
-1.3369,	555
-1.2323,	551
-0.9877,	570
-1.6898,	548
-2.1834,	469
-1.2037,	535
-1.4869,	534
-1.4349,	453
-0.2759,	435
-1.7340,	500
-1.4702,	504
-2.7057,	547
-7.2103,	447
-1.5090,	556
-0.7650,	583
-2.5441,	544
-1.8822,	501
1.1746,	504
-3.0218,	551
-2.7901,	548
-2.9692,	519
-2.2345,	563
-2.1625,	560
-1.0124,	564
-1.7500,	544
-2.0820,	561
-0.8333,	546
-1.6978,	493
-2.8801,	567
0.7159,	542
-3.7486,	545
-2.2610,	567
0.5683,	461
-1.2257,	514
-3.3429,	522
-1.5757,	568
-2.7702,	557
-3.8636,	550
-1.6871,	556
-0.2033,	551
-1.9342,	441
-4.6415,	491
-1.8793,	555
-1.3996,	543
-3.7977,	435
-0.8499,	433
-6.4475,	543
-2.8653,	490
-0.1730,	445
0.3782,	505
-4.3472,	527
-1.2929,	577
-3.3989,	564
-0.5965,	518
0.6667,	447
