
Left power from force,Vector size

-3.5263,	76
-3.2237,	76
-2.5904,	83
-3.4342,	76
-3.2564,	78
-2.7654,	81
-4.0789,	76
-4.0435,	69
-2.8816,	76
-2.8289,	76
-1.7895,	76
-3.3553,	76
-3.8816,	76
-1.9737,	76
-2.6447,	76
-3.1053,	76
-2.9342,	76
-2.5395,	76
-2.4605,	76
-2.3947,	76
-1.3816,	76
-2.5211,	71
-2.4189,	74
-2.2895,	76
-1.7368,	76
-3.5942,	69
-4.2609,	69
-2.2105,	76
-2.0132,	76
-2.2500,	76
-3.4493,	69
-2.4868,	76
-2.6184,	76
-2.4605,	76
-1.0964,	83
-2.3947,	76
-2.2763,	76
-2.8514,	74
-3.6056,	71
-0.6711,	76
-2.3816,	76
-1.9865,	74
-1.9200,	75
-2.3418,	79
-3.0132,	76
-2.7368,	76
-1.5658,	76
-2.6232,	69
-1.6974,	76
-2.7887,	71
-2.1216,	74
-2.1184,	76
-2.7500,	76
-1.5060,	83
-3.3425,	73
-2.5696,	79
-2.8873,	71
-3.0000,	74
-2.8356,	73
-3.5417,	72
-2.0789,	76
-2.7895,	76
-4.6761,	71
-3.4324,	74
-3.4605,	76
-2.6053,	76
-2.4605,	76
-3.2237,	76
-1.5309,	81
-3.2949,	78
-2.5890,	73
-2.9324,	74
-3.1622,	74
-3.3288,	73
-3.4583,	72
