
Left power from force,Vector size

-2.5789,	76
-2.4348,	69
-2.1842,	76
-2.8158,	76
-1.7368,	76
-2.3889,	72
-1.9067,	75
-2.4054,	74
-2.9868,	76
-1.9130,	69
-3.7971,	69
-1.3478,	69
2.7059,	68
7.5404,	161
-2.7887,	71
-2.1486,	74
-1.1974,	76
-3.0000,	74
-2.2051,	78
-3.9130,	69
-1.3855,	83
-3.9710,	69
-2.6184,	76
-1.5395,	76
-2.0921,	76
-2.2500,	76
-2.6957,	69
-3.0263,	76
-2.7632,	76
-4.6812,	69
-1.8684,	76
-2.5541,	74
-3.3205,	78
-2.7763,	76
-2.6974,	76
-3.2754,	69
-2.9880,	83
-2.2632,	76
-3.6197,	71
-3.2222,	81
-2.9710,	69
-3.1316,	76
-1.4342,	76
-2.7368,	76
-3.2754,	69
-2.2895,	76
-2.9079,	76
-2.1325,	83
-3.8378,	74
-2.7432,	74
-4.1096,	73
-1.1579,	76
-2.3553,	76
-3.8026,	76
-3.3421,	76
-2.7237,	76
-2.4868,	76
-4.6377,	69
-2.2949,	78
-2.7027,	74
-3.3947,	76
-2.5263,	76
-3.5132,	76
-3.2958,	71
-3.3378,	74
-2.3158,	76
-4.2609,	69
-3.3289,	76
-2.9211,	76
