
Left power from force,Vector size

-0.1766,	538
-4.5936,	502
-1.2642,	579
-2.4670,	591
0.0925,	454
-1.5880,	483
-5.8178,	472
-0.4618,	524
-3.8775,	555
-2.3292,	562
-2.8642,	545
-1.5412,	510
-2.7356,	450
-3.6816,	534
-0.9624,	558
-2.4007,	554
-2.3989,	534
-2.0989,	475
-2.1142,	543
-3.0072,	555
-2.2189,	507
-0.5520,	471
-4.6266,	482
0.0254,	512
-0.8159,	440
-3.1623,	536
-5.7817,	481
-3.7887,	568
-4.4466,	562
-5.7715,	547
-2.7500,	424
-5.8198,	516
-2.5657,	548
-3.1549,	536
-1.8421,	456
-5.1886,	472
-3.7602,	488
-2.4859,	533
-3.2776,	508
-0.6897,	522
-4.5536,	569
-2.6727,	556
-3.8372,	559
-2.6268,	493
-4.6085,	516
-2.9868,	531
-3.6051,	509
-5.3725,	502
-1.5637,	573
-3.3748,	579
-3.2327,	563
-2.1002,	529
-2.2626,	514
-2.2247,	534
-3.9874,	554
-3.1912,	502
-2.8011,	563
-5.2711,	498
-3.2118,	543
-1.8033,	549
-2.0331,	543
-5.0227,	440
-2.6081,	518
-1.7593,	511
-3.1075,	530
-2.2523,	436
-2.6288,	555
-1.2125,	546
-4.7178,	489
-0.8469,	529
-0.3848,	499
-3.0300,	466
-5.6219,	484
-4.9336,	557
-3.0349,	544
