
Left power from force,Vector size

-2.8158,	76
-2.5507,	69
-4.8406,	69
-3.6316,	76
-2.1842,	76
-3.1316,	76
-2.3421,	76
-3.4342,	76
-3.4348,	69
-5.0870,	69
-2.1974,	76
-4.8649,	74
-2.9437,	71
-2.1447,	76
-1.6579,	76
-2.9296,	71
-1.1486,	74
-0.8158,	76
-3.3380,	71
-1.8919,	74
-3.4605,	76
-1.7368,	76
-4.3043,	69
-2.1053,	76
-1.8553,	76
-3.6842,	76
-2.6711,	76
-2.5789,	76
-3.1449,	69
-4.3467,	75
-2.1270,	63
-1.3333,	81
-2.0519,	77
-2.9714,	70
-1.8158,	76
-1.1528,	72
-2.6712,	73
-0.6712,	73
-2.7361,	72
-2.1974,	76
-2.0580,	69
-2.2763,	76
-3.0435,	69
-3.3421,	76
-0.5263,	76
-3.1884,	69
-1.6579,	76
-2.0132,	76
-2.0263,	76
-4.0000,	69
-4.0789,	76
-1.2500,	76
-3.1594,	69
-2.2763,	76
-2.0132,	76
-2.8406,	69
-1.5921,	76
-4.0526,	76
-1.3067,	75
-2.4545,	77
-3.3421,	76
-1.4211,	76
-2.9420,	69
-1.5070,	71
-3.7838,	74
-2.0789,	76
-1.9474,	76
-2.8630,	73
-3.0694,	72
-3.0000,	74
-3.2817,	71
-3.8493,	73
-2.4861,	72
-2.0921,	76
-3.7681,	69
